application_id,family_id,applicant_name,age,gender,state,district,village,tribe,community_category,years_in_forest_area,caste_certificate,aadhaar_id,land_area_requested_acres,land_type,claim_type,document_authenticity_score,eligibility_confidence_score,fraud_risk_score,has_previous_claim,application_date,application_status,gram_sabha_date
FRA-2025-000408,FAM-138B7E62,Raman Kumar,68,Male,Odisha,Dantewada,Anandpurtola56,Ho,OTFD,100,False,1139-1726-2385,1.32,Water Bodies,Community Forest Right,0.85,0.727,0.186,False,2025-02-11,Pending - Gram Sabha,2025-03-18
FRA-2025-000410,FAM-C132DA81,Suresh Prasad,33,Male,Odisha,Koraput,Ambaparapalli114,Ho,OTFD,113,False,5971-3071-9167,1.59,Water Bodies,Community Forest Right,0.659,0.654,0.137,False,2025-09-19,Approved,2025-10-25
FRA-2025-000411,FAM-1423CDF2,Suresh Prasad,57,Male,Odisha,Bastar,Jagannathpurnagar19,Munda,OTFD,88,False,7415-8638-6592,1.16,Grazing,Individual Forest Right,0.993,0.8,0.132,False,2025-05-14,Under Review,2025-06-08
FRA-2025-000412,FAM-60A52D8C,Sunita Devi,56,Female,Madhya Pradesh,Koraput,Sonarinagar116,Munda,ST,45,True,2586-1146-8817,1.34,Community Forest Resource,Community Forest Right,0.75,0.7,0.33,True,2025-01-03,Rejected - Multiple Claims,2025-01-29
FRA-2025-000413,FAM-E7540293,Suresh Prasad,43,Male,Telangana,Rayagada,Ambaparatola55,Oraon,ST,3,True,7745-9710-6349,1.49,Habitation,Other Traditional Rights,0.888,0.67,0.222,False,2025-03-27,Approved,2025-04-19
FRA-2025-000415,FAM-6F7F6406,Suresh Prasad,37,Male,Tripura,Ranchi,Sundarpurpada114,Oraon,OTFD,114,False,3658-9441-8453,3.17,Water Bodies,Individual Forest Right,0.814,0.895,0.131,True,2025-05-28,Rejected - Multiple Claims,2025-06-16
FRA-2025-000416,FAM-35AF9685,Anita Kumari,30,Female,Telangana,Khunti,Jagannathpurgaon36,Gond,OTFD,86,False,5665-6677-7210,1.81,Water Bodies,Individual Forest Right,0.729,0.687,0.278,False,2025-08-09,Under Review,2025-09-11
FRA-2025-000417,FAM-C1B68AF3,Suresh Prasad,39,Male,Madhya Pradesh,Bastar,Narsinghpurtola35,Bhil,ST,14,True,8368-6759-4610,2.5,Community Forest Resource,Individual Forest Right,0.634,0.876,0.118,False,2025-01-15,Approved,2025-02-15
FRA-2025-000418,FAM-DF899FC4,Seeta Sharma,54,Female,Tripura,Bastar,Sitapurtola11,Warli,OTFD,96,False,9065-7759-9173,1.13,Habitation,Individual Forest Right,0.63,0.951,0.118,False,2025-02-26,Pending - Gram Sabha,2025-03-21
FRA-2025-000422,FAM-E55DBFFD,Geeta Singh,39,Female,Tripura,Bastar,Jagannathpurpalli72,Bhil,ST,49,True,6477-2303-4790,2.55,Water Bodies,Community Forest Right,0.969,0.577,0.381,False,2025-07-13,Pending - Gram Sabha,2025-08-03
FRA-2025-000423,FAM-2FB4292C,Rakesh Sharma,49,Male,Madhya Pradesh,Bastar,Nandigramnagar39,Oraon,OTFD,112,False,4727-1806-3766,1.1,Water Bodies,Individual Forest Right,0.931,0.802,0.011,False,2025-05-07,Under Review,2025-05-29
FRA-2025-000426,FAM-7DB20F32,Mahesh Singh,66,Male,Telangana,Kandhamal,Lakshmipurpada67,Ho,ST,26,True,5715-9300-8169,1.13,Water Bodies,Community Forest Right,0.783,0.955,0.073,False,2025-01-08,Under Review,2025-02-20
FRA-2025-000429,FAM-2086CD1B,Ramesh Yadav,33,Male,Telangana,Khunti,Sundarpurtola49,Santhal,ST,11,True,2612-7988-2201,1.53,Water Bodies,Community Forest Right,0.667,0.836,0.004,False,2025-06-06,Under Review,2025-06-27
FRA-2025-000430,FAM-9997A398,Ramesh Yadav,69,Male,Odisha,Khunti,Vikramgarhpada12,Gond,OTFD,100,False,8452-9239-4631,2.59,Agricultural,Community Forest Right,0.907,0.964,0.15,False,2025-01-14,Approved,2025-01-29
FRA-2025-000434,FAM-D5CE5D7D,Seeta Sharma,57,Female,Madhya Pradesh,Dantewada,Anandpurnagar14,Kondh,OTFD,90,False,2905-1781-7200,1.33,Grazing,Community Forest Right,0.848,0.53,0.15,False,2025-07-07,Approved,2025-08-11
FRA-2025-000436,FAM-19537BAF,Suresh Prasad,63,Male,Tripura,Dantewada,Rampurnagar65,Santhal,OTFD,104,False,8309-3094-2048,0.74,Habitation,Individual Forest Right,0.997,0.969,0.05,False,2025-04-08,Pending - Gram Sabha,2025-05-09
FRA-2025-000437,FAM-3364221C,Geeta Singh,35,Female,Madhya Pradesh,Rayagada,Haridaspurnagar91,Santhal,ST,39,True,2729-5611-6550,2.52,Habitation,Individual Forest Right,0.913,0.54,0.389,False,2025-08-15,Approved,2025-09-12
FRA-2025-000438,FAM-34015D64,Anita Kumari,55,Female,Odisha,Khunti,Chandipurgaon75,Bhil,ST,6,True,8294-7649-9549,2.43,Habitation,Individual Forest Right,0.785,0.727,0.15,False,2025-06-05,Approved,2025-07-12
FRA-2025-000439,FAM-58AFAE1C,Suresh Prasad,25,Male,Odisha,Khunti,Devgaontola82,Oraon,ST,32,True,5406-9763-1636,3.9,Community Forest Resource,Individual Forest Right,0.723,0.994,0.028,False,2025-07-19,Approved,2025-08-08
FRA-2025-000440,FAM-1095F3FE,Geeta Singh,47,Female,Telangana,Ranchi,Haridaspurpalli48,Oraon,ST,45,True,6231-4620-3041,3.07,Habitation,Individual Forest Right,0.969,0.681,0.283,True,2025-03-09,Rejected - Multiple Claims,2025-04-12
FRA-2025-000442,FAM-2E72438F,Rita Gupta,59,Female,Tripura,Dantewada,Sitapurtola127,Bhil,ST,49,True,3947-2765-3069,3.35,Community Forest Resource,Community Forest Right,0.972,0.699,0.123,False,2025-01-04,Under Review,2025-01-21
FRA-2025-000444,FAM-BF4DE257,Mahesh Singh,51,Male,Telangana,Ranchi,Ambaparatola70,Gond,ST,41,True,9124-6488-3437,0.8,Agricultural,Individual Forest Right,0.737,0.793,0.191,False,2025-01-02,Approved,2025-01-25
FRA-2025-000446,FAM-585EE747,Seeta Sharma,64,Female,Odisha,Kandhamal,Rampurbasti70,Gond,OTFD,76,False,3834-6842-5184,0.59,Agricultural,Other Traditional Rights,0.712,0.85,0.326,False,2025-08-17,Pending - Gram Sabha,2025-09-14
FRA-2025-000448,FAM-EE4A74CB,Suresh Prasad,58,Male,Odisha,Rayagada,Haridaspurpada134,Gond,ST,20,True,7145-9229-4804,3.64,Agricultural,Individual Forest Right,0.816,0.622,0.068,False,2025-02-04,Pending - Gram Sabha,2025-03-04
FRA-2025-000449,FAM-BBEE9E9F,Suresh Prasad,45,Male,Tripura,Khunti,Sitapurtola77,Munda,OTFD,92,False,3907-1885-1037,3.73,Grazing,Individual Forest Right,0.877,0.936,0.373,False,2025-02-21,Pending - Gram Sabha,2025-03-18
FRA-2025-000450,FAM-7A9FD77D,Rita Gupta,52,Female,Madhya Pradesh,Rayagada,Narsinghpurpada1,Gond,ST,19,True,2596-1084-3064,1.69,Water Bodies,Other Traditional Rights,0.898,0.558,0.147,False,2025-01-10,Under Review,2025-01-26
FRA-2025-000452,FAM-854FBC1E,Anita Kumari,67,Female,Odisha,Dantewada,Sitapurpalli87,Ho,ST,33,True,1692-6374-3647,2.71,Habitation,Individual Forest Right,0.882,0.688,0.392,False,2025-04-28,Pending - Gram Sabha,2025-06-05
FRA-2025-000453,FAM-D77A3A3A,Raman Kumar,36,Male,Telangana,Ranchi,Narsinghpurpalli48,Ho,OTFD,118,False,2545-8069-6560,1.87,Grazing,Individual Forest Right,0.996,0.879,0.156,False,2025-05-23,Under Review,2025-07-06
FRA-2025-000455,FAM-66B3E851,Suresh Prasad,49,Male,Tripura,Ranchi,Shyampurpalli94,Kondh,ST,7,True,8962-8997-5191,3.81,Agricultural,Other Traditional Rights,0.86,0.797,0.388,False,2025-04-02,Under Review,2025-04-20
FRA-2025-000457,FAM-F5441F92,Rita Gupta,39,Female,Odisha,Dantewada,Sundarpurtola29,Warli,ST,18,True,4271-9453-7608,2.19,Grazing,Individual Forest Right,0.65,0.663,0.286,False,2025-03-13,Pending - Gram Sabha,2025-04-23
FRA-2025-000458,FAM-C0D5E774,Rita Gupta,59,Female,Telangana,Koraput,Jagannathpurbasti107,Gond,OTFD,89,False,9325-1740-9669,0.52,Grazing,Community Forest Right,0.649,0.564,0.082,False,2025-05-28,Pending - Gram Sabha,2025-07-06
FRA-2025-000460,FAM-F2E5F48A,Rita Gupta,59,Female,Madhya Pradesh,Ranchi,Lakshmipurnagar70,Kondh,ST,16,True,7129-5780-9244,1.55,Habitation,Other Traditional Rights,0.841,0.608,0.144,False,2025-07-03,Pending - Gram Sabha,2025-08-04
FRA-2025-000461,FAM-E915E0D0,Anita Kumari,50,Female,Telangana,Koraput,Vikramgarhpalli64,Bhil,ST,45,True,9785-3457-9276,0.75,Community Forest Resource,Other Traditional Rights,0.879,0.596,0.149,False,2025-03-14,Pending - Gram Sabha,2025-04-24
FRA-2025-000462,FAM-3B7A3E47,Seeta Sharma,26,Female,Madhya Pradesh,Koraput,Jagannathpurpalli127,Gond,ST,35,True,6703-6000-1871,0.73,Agricultural,Individual Forest Right,0.733,0.637,0.348,False,2025-02-13,Approved,2025-03-07
FRA-2025-000466,FAM-E8491BB7,Mahesh Singh,60,Male,Telangana,Khunti,Sonarinagar87,Bhil,ST,44,True,3398-5337-1634,2.24,Water Bodies,Individual Forest Right,0.762,0.808,0.364,False,2025-07-23,Pending - Gram Sabha,2025-08-24
FRA-2025-000467,FAM-B38FF623,Rakesh Sharma,68,Male,Odisha,Dantewada,Shyampurtola41,Santhal,OTFD,119,False,7327-5534-3554,0.76,Habitation,Individual Forest Right,0.981,0.711,0.152,False,2025-06-22,Approved,2025-07-14
FRA-2025-000468,FAM-C4FF5A3A,Mahesh Singh,44,Male,Telangana,Kandhamal,Devgaonbasti102,Munda,OTFD,76,False,7215-5159-9632,3.75,Water Bodies,Community Forest Right,0.614,0.732,0.247,False,2025-01-20,Under Review,2025-02-18
FRA-2025-000472,FAM-BFCEA8A0,Mahesh Singh,50,Male,Tripura,Rayagada,Sundarpurtola35,Gond,OTFD,77,False,5403-2402-6754,2.25,Habitation,Individual Forest Right,0.932,0.715,0.239,True,2025-08-10,Rejected - Multiple Claims,2025-09-03
FRA-2025-000475,FAM-6350964F,Suresh Prasad,46,Male,Tripura,Bastar,Rampurtola137,Bhil,OTFD,117,False,1236-6655-8146,1.44,Community Forest Resource,Other Traditional Rights,0.885,0.623,0.358,False,2025-01-22,Approved,2025-03-01
FRA-2025-000479,FAM-17AD6001,Ramesh Yadav,29,Male,Telangana,Bastar,Narsinghpurbasti134,Kondh,OTFD,86,False,8239-3385-4621,0.66,Water Bodies,Individual Forest Right,0.989,0.595,0.326,False,2025-09-03,Pending - Gram Sabha,2025-09-23
FRA-2025-000480,FAM-A8B8B245,Rita Gupta,49,Female,Tripura,Dantewada,Sitapurbasti1,Munda,ST,12,True,9384-1554-3937,2.57,Agricultural,Other Traditional Rights,0.916,0.728,0.283,False,2025-04-10,Under Review,2025-05-17
FRA-2025-000481,FAM-F11A5163,Suresh Prasad,39,Male,Odisha,Dantewada,Narsinghpurtola53,Ho,ST,3,True,8453-2193-1742,1.45,Agricultural,Individual Forest Right,0.7,0.912,0.214,True,2025-06-21,Rejected - Multiple Claims,2025-07-25
FRA-2025-000484,FAM-2D154219,Ramesh Yadav,36,Male,Telangana,Rayagada,Lakshmipurpada149,Munda,OTFD,112,False,9440-8367-9619,0.57,Habitation,Other Traditional Rights,0.927,0.844,0.075,False,2025-04-15,Under Review,2025-05-29
FRA-2025-000490,FAM-502F8FFB,Mahesh Singh,34,Male,Tripura,Bastar,Anandpurtola140,Warli,OTFD,80,False,2376-2122-2112,1.01,Community Forest Resource,Other Traditional Rights,0.673,0.693,0.128,False,2025-07-20,Pending - Gram Sabha,2025-08-29
FRA-2025-000491,FAM-26B67213,Suresh Prasad,49,Male,Tripura,Dantewada,Rampurnagar14,Warli,OTFD,110,False,7803-9098-9916,0.79,Grazing,Individual Forest Right,0.911,0.906,0.088,True,2025-06-01,Rejected - Multiple Claims,2025-06-22
FRA-2025-000492,FAM-414DB57F,Mahesh Singh,60,Male,Telangana,Rayagada,Nandigramgaon148,Kondh,OTFD,98,False,8467-4733-6601,2.11,Water Bodies,Other Traditional Rights,0.965,0.621,0.331,True,2025-03-04,Rejected - Multiple Claims,2025-04-18
FRA-2025-000493,FAM-6A5BD06F,Ramesh Yadav,26,Male,Tripura,Kandhamal,Rajpurpalli65,Gond,OTFD,118,False,7913-3236-4053,0.61,Community Forest Resource,Individual Forest Right,0.698,0.506,0.332,False,2025-08-24,Approved,2025-09-12
FRA-2025-000497,FAM-8ED2030E,Raman Kumar,38,Male,Odisha,Khunti,Rampurpalli24,Munda,ST,36,True,7450-1129-5791,1.44,Water Bodies,Individual Forest Right,0.825,0.895,0.018,False,2025-01-12,Under Review,2025-02-20
